train/epoch,test/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Min,debug/MSE improvement over random Max,debug/MSE improvement over random Std,train/loss,debug/MSE of random decoding Mean,beta,debug/MSE of reconstruction,debug/MSE of random decoding Max,train/KL,debug/MSE of random decoding Std,debug/MSE improvement over random Mean,train/Log Prob,test/loss,test/KL
38,-2029.6890502929687,0.0,0.01619682,0.05208789,0.009511276,258.455938873291,0.041383766,10.0,0.0016566829,1.0,12.695730695724487,0.19486828,0.03972709,-131.49863327026367,2154.018115234375,12.4329083442688
39,-315.91201171875,0.0,0.004139642,0.05630426,0.010282541,256.6104917907715,0.04226683,10.0,0.0020697224,1.0,12.680755853652954,0.19700092,0.040197108,-129.8029344177246,444.8410888671875,12.89290771484375
40,-828.649267578125,0.0,0.005001683,0.04962837,0.0093222745,249.35842315673827,0.042881448,10.0,0.014810644,1.0,12.64817304611206,0.1983566,0.028070798,-122.87669174194336,956.2129333496093,12.756367301940918
41,-1268.38173828125,0.0,0.00084637245,0.056535386,0.011144859,252.22449508666992,0.043620408,10.0,0.005164695,1.0,12.627870969772339,0.20014392,0.038455706,-125.9457844543457,1393.3837890625,12.500205516815186
42,-249.47162322998048,0.0,0.019224184,0.054708708,0.009958857,251.0747119140625,0.043495897,10.0,0.0014609423,1.0,12.656924324035645,0.20002653,0.04203496,-124.50546897888184,378.11337890625,12.864175987243652
43,-328.55938415527345,0.0,0.024307806,0.05435352,0.0088956095,248.21972900390625,0.042706314,10.0,0.0013644081,1.0,12.620962915420533,0.19834585,0.041341905,-122.01010070800781,456.6306396484375,12.807125568389893
44,-491.76642456054685,0.0,0.010255387,0.058670614,0.009852859,255.23957000732423,0.042218063,10.0,0.001610578,1.0,12.600447406768799,0.19700386,0.04060749,-129.23509437561034,618.423779296875,12.665735244750977
45,-1629.3078247070312,0.0,0.011106163,0.049877066,0.0092039155,245.7964111328125,0.04062856,10.0,0.00736165,1.0,12.568149652481079,0.19349976,0.03326691,-120.11491523742676,1754.788720703125,12.548091411590576
46,-4132.389404296875,0.0,0.0029022787,0.054812204,0.011044926,237.8453547668457,0.04248699,10.0,0.009122458,1.0,12.525609064102174,0.19782785,0.033364534,-112.5892636871338,4255.772705078125,12.338332653045654
47,-386.2583068847656,0.0,0.004059999,0.06337293,0.009402891,242.14068298339845,0.044270806,10.0,0.0019342666,1.0,12.555540046691895,0.2015769,0.042336524,-116.5852822113037,512.1778076171875,12.591949939727783
48,-330.3468444824219,0.0,0.009281685,0.057637002,0.010806061,241.42865615844727,0.040851552,10.0,0.0005739849,1.0,12.525529499053954,0.1941665,0.040277567,-116.17336036682129,460.8660095214844,13.051916980743409
