train/epoch,train/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Std,debug/MSE of random decoding Mean,test/loss,train/KL,debug/MSE of reconstruction,debug/MSE improvement over random Mean,train/loss,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE improvement over random Max,test/KL,beta,debug/MSE improvement over random Min,test/Log Prob
54,-168.09917922973634,0.0,0.008337237,0.03786474,11923.9216796875,12.896974906921386,0.0022311548,0.03563358,297.06893035888675,0.18492237,1.0,0.05081933,16.25358486175537,10.0,0.017249426,-11761.38564453125
55,-157.6655842590332,0.0,0.010649839,0.045654483,7315.734521484375,12.926224517822266,0.008033667,0.037620813,286.9278317260742,0.20359,1.0,0.051811475,14.387358856201171,10.0,0.0022748122,-7171.860888671875
56,-155.5381053161621,0.0,0.00981612,0.041726902,1393.7601440429687,12.872531671524047,0.0035168324,0.03821007,284.263420715332,0.19395489,1.0,0.05172068,13.626532936096192,10.0,0.0067078844,-1257.49482421875
57,-155.4464256286621,0.0,0.008120218,0.043284934,5115.166015625,12.87736629486084,0.0513548,-0.0080698645,284.2200883483887,0.19783255,1.0,0.004199557,13.346549797058106,10.0,-0.028426418,-4981.7005615234375
58,-156.50949401855468,0.0,0.008129907,0.042342264,11226.793359375,12.851754217147827,0.048567105,-0.0062248325,285.02703735351565,0.19582121,1.0,0.015325319,14.895616912841797,10.0,-0.025649607,-11077.8373046875
59,-151.85873641967774,0.0,0.007659748,0.046194848,12306.50888671875,12.815742712020874,0.036637194,0.009557655,280.01616302490237,0.20478833,1.0,0.024178594,15.554533958435059,10.0,-0.008167729,-12150.9634765625
60,-152.4779030609131,0.0,0.009376012,0.043676935,7528.53173828125,12.83320369720459,0.05015228,-0.0064753415,280.80994110107423,0.19884373,1.0,0.007946957,14.507934474945069,10.0,-0.039864834,-7383.45234375
61,-148.64087120056152,0.0,0.008384235,0.042049505,624.5040466308594,12.833611316680908,0.004166106,0.037883382,276.97698348999023,0.19556132,1.0,0.048953913,13.365522289276123,10.0,0.0075298133,-490.848828125
62,-147.50257263183593,0.0,0.010161924,0.044389367,1323.7730224609375,12.806494569778442,0.009306038,0.03508332,275.56752014160156,0.20104697,1.0,0.04934162,12.42584295272827,10.0,0.005387989,-1199.514599609375
63,-151.70825729370117,0.0,0.008564392,0.040477935,3798.806689453125,12.768666534423827,0.008288918,0.032189004,279.39491973876954,0.19232234,1.0,0.045038633,13.125160121917725,10.0,0.014574626,-3667.555126953125
64,-144.9402741241455,0.0,0.007872776,0.045096815,628.8365112304688,12.730242738723755,0.0032572383,0.041839566,272.2427017211914,0.20194933,1.0,0.05306187,13.281713485717773,10.0,0.024282962,-496.0193756103516
65,-151.01365394592284,0.0,0.0084343655,0.044793054,2267.87646484375,12.767460498809815,0.008155783,0.036637273,278.68825897216794,0.20178571,1.0,0.053390395,14.010102844238281,10.0,0.0139675485,-2127.775439453125
66,-142.22698234558106,0.0,0.008429686,0.043978643,8317.71484375,12.744879388809204,0.016501395,0.027477259,269.67577758789065,0.19997336,1.0,0.039815716,13.982638931274414,10.0,0.008128392,-8177.888427734375
67,-140.27821922302246,0.0,0.008700907,0.03218257,12035.36259765625,12.70850733757019,0.03728758,-0.005105012,267.3632925415039,0.17040868,1.0,0.012704905,14.76778802871704,10.0,-0.023116723,-11887.68486328125
68,-139.46004371643068,0.0,0.0075335777,0.04037332,385.4928283691406,12.729979276657104,0.006076726,0.034296595,266.75983673095703,0.19166398,1.0,0.049587842,13.422313690185547,10.0,0.016791519,-251.26969146728516
69,-136.64275177001954,0.0,0.008913946,0.0449918,11636.50830078125,12.662349510192872,0.041548964,0.0034428225,263.26624572753906,0.20283383,1.0,0.01441576,13.42398738861084,10.0,-0.03190432,-11502.26845703125
70,-134.9091837310791,0.0,0.007503056,0.030754764,1600.0621826171875,12.74461630821228,0.001023144,0.02973162,262.35534561157226,0.16650979,1.0,0.04129169,13.763271236419678,10.0,0.013275882,-1462.4294555664062
71,-133.26145133972167,0.0,0.008410371,0.044663463,14255.965625,12.64940294265747,0.00853495,0.036128517,259.7554795837402,0.20194435,1.0,0.049938805,14.45495433807373,10.0,0.01949595,-14111.4162109375
72,-135.3323307800293,0.0,0.010117963,0.04364572,16024.946484375,12.623211317062378,0.031695902,0.011949809,261.56444366455077,0.19934411,1.0,0.028815538,14.826414585113525,10.0,-0.017052123,-15876.68232421875
73,-133.92187881469727,0.0,0.0089095775,0.044773452,16514.42265625,12.636262817382812,0.018477418,0.02629603,260.2845080566406,0.20174606,1.0,0.04498916,14.379798221588135,10.0,0.0045464076,-16370.6244140625
